Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,correct,food_obtained,food_retrieved in the end,Comment,ForReliability
Jane,kenya,f,young chimps,14,14/10/2018,5,2,5,0,,,,1
Jane,kenya,f,young chimps,14,14/10/2018,5,2,6,1,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,1,0,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,2,0,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,3,0,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,4,0,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,5,0,,,,1
Amizero,kenya,f,young chimps,11,14/10/2018,5,2,6,0,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,1,1,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,2,0,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,3,0,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,4,1,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,5,0,,,,1
Chipie,kenya,f,young chimps,11,14/10/2018,5,2,6,1,,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,1,0,,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,2,1,1,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,3,1,0,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,4,1,1,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,5,1,0,,,1
Mwanzo,kenya,f,old chimps,14,18/10/2018,5,2,6,0,,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,1,0,,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,2,0,,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,3,0,,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,4,0,,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,5,1,0,,,1
Niyonkuru,kenya,m,young chimps,28,10/11/2018,5,1,6,1,0,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,1,0,,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,2,0,,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,3,0,,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,4,1,1,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,5,1,1,,,1
Joy,kenya,f,young chimps,14,10/11/2018,5,1,6,0,,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,1,0,,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,2,1,1,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,3,0,,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,4,0,,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,5,0,,,,1
Akela,kenya,f,young chimps,30,10/11/2018,5,1,6,0,,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,1,0,,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,2,1,1,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,3,1,0,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,4,0,,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,5,0,,,,1
Dufatanya,kenya,f,young chimps,27,10/11/2018,5,1,6,0,,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,1,1,1,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,2,1,1,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,3,0,,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,4,1,1,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,5,0,,,,1
Nakuu,uganda,f,Uganda,18,19/10/2019,5,2,6,1,1,7,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,1,1,1,,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,2,1,1,,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,3,1,1,,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,4,0,,,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,5,1,1,,,1
Becky,uganda,f,Uganda,28,09/11/2019,4,1,6,1,1,7,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,1,0,,,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,2,1,1,,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,3,0,,,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,4,0,,,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,5,1,1,,,1
Tumbo,uganda,m,Uganda,30,09/11/2019,4,1,6,0,,7,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,1,1,1,,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,2,0,,,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,3,1,1,,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,4,1,1,,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,5,1,1,,,1
Nkuumwa,uganda,f,Uganda,23,12/11/2019,4,1,6,1,1,7,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,1,0,,,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,2,1,1,,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,3,1,1,,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,4,0,,,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,5,1,1,,,1
Tumbo,uganda,m,Uganda,30,10/11/2019,4,2,6,1,1,7,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,1,1,1,,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,2,0,,,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,3,1,1,,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,4,1,1,,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,5,1,1,,,1
Nani,uganda,f,Uganda,18,30/11/2019,5,1,6,1,1,7,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,1,1,1,,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,2,0,,,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,3,1,1,,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,4,0,,,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,5,1,1,,,1
Yoyo,uganda,f,Uganda,20,01/12/2019,6,2,6,0,,7,,1
