Subject,Site,Sex,Group,Age,Date,Day,Session,trial_number,Side,chose_side,correct,Comment,ForReliability
Cheetah,kenya,f,old chimps,31,29/10/2018,,2,9,r,l,0,,1
Cheetah,kenya,f,old chimps,31,29/10/2018,,2,10,l,r,0,,1
Cheetah,kenya,f,old chimps,31,29/10/2018,,2,11,l,r,0,,1
Cheetah,kenya,f,old chimps,31,29/10/2018,,2,12,r,r,1,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,1,r,r,1,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,2,l,r,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,3,r,r,1,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,4,l,l,1,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,5,r,l,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,6,l,r,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,7,l,l,1,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,8,r,l,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,9,r,l,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,10,l,r,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,11,l,r,0,,1
Alikaka,kenya,m,old chimps,20,29/10/2018,,2,12,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,1,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,2,l,l,1,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,3,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,4,l,r,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,5,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,6,l,r,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,7,l,r,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,8,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,9,r,l,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,10,l,r,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,11,l,r,0,,1
Julia,kenya,f,old chimps,18,29/10/2018,,1,12,r,l,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,1,r,r,1,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,2,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,3,r,r,1,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,4,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,5,r,r,1,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,6,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,7,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,8,r,r,1,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,9,r,r,1,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,10,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,11,l,r,0,,1
Kisa,kenya,m,young chimps,25,26/11/2018,,2,12,r,r,1,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,1,r,l,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,2,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,3,r,l,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,4,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,5,r,l,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,6,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,7,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,8,r,l,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,9,r,r,1,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,10,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,11,l,r,0,,1
Joy,kenya,f,young chimps,14,24/11/2018,,1,12,r,l,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,1,r,L,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,2,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,3,r,L,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,4,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,5,r,L,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,6,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,7,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,8,r,L,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,9,r,L,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,10,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,11,l,R,0,,1
Pasa,uganda,f,Uganda,19,28/10/2019,15,1,12,r,L,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,1,r,L,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,2,l,L,1,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,3,r,R,1,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,4,l,R,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,5,r,L,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,6,l,R,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,7,l,R,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,8,r,L,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,9,r,L,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,10,l,R,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,11,l,R,0,,1
Kisembo,uganda,m,Uganda,20,28/10/2019,15,1,12,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,1,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,2,l,R,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,3,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,4,l,R,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,5,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,6,l,R,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,7,l,R,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,8,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,9,r,L,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,10,l,R,0,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,11,l,L,1,,1
Indi,uganda,m,Uganda,19,28/10/2019,15,1,12,r,L,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,1,r,L,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,2,l,R,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,3,r,L,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,4,l,R,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,5,r,L,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,6,l,R,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,7,l,L,1,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,8,r,L,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,9,r,R,1,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,10,l,R,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,11,l,R,0,,1
Medina,uganda,f,Uganda,12,28/10/2019,15,1,12,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,1,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,2,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,3,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,4,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,5,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,6,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,7,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,8,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,9,r,L,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,10,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,11,l,R,0,,1
Asega,uganda,m,Uganda,21,28/10/2019,15,1,12,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,1,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,2,l,R,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,3,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,4,l,L,1,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,5,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,6,l,R,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,7,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,8,l,R,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,9,r,L,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,10,l,R,0,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,11,l,L,1,,1
Asega,uganda,m,Uganda,21,30/10/2019,15,2,12,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,1,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,2,l,L,1,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,3,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,4,l,R,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,5,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,6,l,R,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,7,l,R,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,8,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,9,r,L,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,10,l,R,0,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,11,l,L,1,,1
Indi,uganda,m,Uganda,19,30/10/2019,15,2,12,r,L,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,1,r,L,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,2,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,3,r,L,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,4,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,5,r,L,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,6,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,7,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,8,r,L,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,9,r,R,1,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,10,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,11,l,R,0,,1
Umutama,uganda,m,Uganda,23,17/12/2019,,2,12,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,1,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,2,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,3,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,4,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,5,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,6,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,7,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,8,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,9,r,L,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,10,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,11,l,R,0,,1
Bili,uganda,f,Uganda,21,16/12/2019,,1,12,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,1,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,2,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,3,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,4,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,5,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,6,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,7,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,8,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,9,r,L,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,10,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,11,l,R,0,,1
Bili,uganda,f,Uganda,21,17/12/2019,,2,12,r,L,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,1,r,R,1,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,2,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,3,r,R,1,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,4,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,5,r,R,1,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,6,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,7,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,8,r,R,1,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,9,r,R,1,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,10,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,11,l,R,0,,1
Mawa,uganda,m,Uganda,23,18/12/2019,,2,12,r,R,1,,1
